p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
2.62975862269015E-52;0.476866546641155;0.305;0.153;8.49017571335516E-48;TexProg;Ighm
2.23617989997764E-51;0.334548949414474;0.934;0.826;7.21950680707781E-47;TexProg;Rpl35
4.9080726492169E-51;0.273943844161701;0.988;0.933;1.58457125479968E-46;TexProg;Rps25
9.39925573824415E-51;0.307000763902791;0.938;0.832;3.03454971509212E-46;TexProg;Rpl10
5.29471736453761E-50;0.44178770539893;0.243;0.114;1.70939950114097E-45;TexProg;Fam162a
3.18940744284126E-49;0.389524091286716;0.155;0.059;1.0297001929213E-44;TexProg;Mrps6
6.6914508577881E-49;0.45459329814375;0.292;0.15;2.16033490943689E-44;TexProg;Tnfaip8
8.01534410563728E-49;0.431372015417212;0.214;0.095;2.587753844505E-44;TexProg;Map4k4
1.84296931046958E-48;0.443410615651605;0.199;0.087;5.95002641885104E-44;TexProg;Sdhaf1
4.84902353303924E-48;0.520037384414306;0.429;0.259;1.56550724764172E-43;TexProg;Nfkbia
5.33127856677485E-48;0.499008387535514;0.405;0.238;1.72120328528326E-43;TexProg;Fyn
6.45157125310319E-48;0.267962363850375;0.985;0.938;2.08288977906436E-43;TexProg;mt-Cytb
3.61025147375982E-47;0.405510624676281;0.62;0.422;1.16556968830336E-42;TexProg;Hspe1
5.28324747492369E-47;0.326999088273029;0.92;0.818;1.70569644727911E-42;TexProg;mt-Nd4
2.73683609555575E-46;0.279186823257723;0.104;0.032;8.83587533450172E-42;TexProg;Sesn3
2.18375216146505E-45;0.500820808420253;0.304;0.165;7.05024385328992E-41;TexProg;Ubac2
2.42853185934789E-45;0.445165107825157;0.169;0.07;7.84051510790467E-41;TexProg;Kcnq1ot1
3.30401297242803E-45;0.42405701774688;0.172;0.072;1.06670058814839E-40;TexProg;Farsb
4.00798212163712E-44;0.379331725090167;0.206;0.093;1.29397702797054E-39;TexProg;Utrn
6.75866837667354E-44;0.469438874603418;0.102;0.032;2.18203608540905E-39;TexProg;Fos
1.04551913007375E-43;0.29011083628287;0.963;0.895;3.37545851144309E-39;TexProg;Rpl29
2.99890412197855E-43;0.379830801330056;0.201;0.091;9.68196195780774E-39;TexProg;Cd9
4.10772597752305E-43;0.432382090598362;0.527;0.347;1.32617933184332E-38;TexProg;2410006H16Rik
9.64363859953905E-43;0.408597306657665;0.369;0.215;3.11344872186118E-38;TexProg;Snhg8
2.88228455008152E-42;0.412943591104465;0.213;0.101;9.30545566993817E-38;TexProg;Ddit4
2.31255195480469E-41;0.409270036110364;0.102;0.034;7.46607398608693E-37;TexProg;Fosb
9.2327640253627E-41;0.314305048266934;0.126;0.047;2.98079786558835E-36;TexProg;Ehd3
1.99839709639591E-40;0.335584563697333;0.12;0.044;6.45182502571419E-36;TexProg;Pecam1
1.75634354561039E-39;0.32579805741445;0.102;0.035;5.67035513700315E-35;TexProg;Aim2
3.03759418088241E-39;0.267261621258919;0.952;0.872;9.80687281297885E-35;TexProg;Rpl23a
1.32825882115469E-38;0.343562312782157;0.152;0.064;4.2882836040979E-34;TexProg;Psen2
1.49666818565229E-38;0.341575146713566;0.182;0.083;4.83199323737843E-34;TexProg;Gpr18
2.70506390350943E-38;0.36567737457852;0.18;0.082;8.73329881248019E-34;TexProg;Nfkb1
1.82101070280179E-37;0.405633382054268;0.462;0.299;5.87913305399559E-33;TexProg;Pnrc1
4.87938764659362E-37;0.379716909424522;0.536;0.37;1.57531030170275E-32;TexProg;Mrpl52
1.49839177390217E-36;0.437191997874753;0.339;0.204;4.83755784204317E-32;TexProg;Cd160
8.25206618507164E-36;0.361692609922941;0.259;0.14;2.66417956785038E-31;TexProg;Sat1
1.16295478352902E-35;0.427804356457303;0.26;0.143;3.75459951862345E-31;TexProg;Hif1a
2.9288196057878E-35;0.390098572418673;0.327;0.193;9.45569409728592E-31;TexProg;Cd28
3.45693309288106E-35;0.341677788491638;0.777;0.632;1.11607084903665E-30;TexProg;Limd2
6.27562201760369E-35;0.388474339182812;0.148;0.065;2.02608456838335E-30;TexProg;Rnf213
2.00091190613577E-34;0.410840465114753;0.255;0.142;6.45994408895932E-30;TexProg;Slc38a1
2.41853783907516E-34;0.395571033768207;0.26;0.142;7.80824941345416E-30;TexProg;Cd69
1.01378180155129E-33;0.401657033842721;0.429;0.286;3.27299454630834E-29;TexProg;Pebp1
1.46470152689844E-33;0.312460964156175;0.113;0.044;4.72878887959162E-29;TexProg;Hgsnat
2.72845593300844E-33;0.378934036458521;0.218;0.113;8.80881997971776E-29;TexProg;Jun
1.65092655141554E-32;0.311259114765445;0.142;0.063;5.33001637124508E-28;TexProg;Tspan3
1.94480212548099E-31;0.330537191954594;0.253;0.141;6.27879366211537E-27;TexProg;Cdkn2d
4.5756696963134E-31;0.294353716328407;0.119;0.05;1.47725496145478E-26;TexProg;Irf2bp2
5.79734651144183E-31;0.429292209431623;0.131;0.057;1.871673321219E-26;TexProg;Ifit3
6.44430807380558E-31;0.357269095751435;0.237;0.131;2.08054486162813E-26;TexProg;Snhg4
